Noun,M/F?,A,The,My,Your (informal),Your (formal),His/Her,Our,Their,This/That
orange,F,une orange,l'orange,mon orange,ton orange,votre orange,son orange,notre orange,leur orange,cette orange
croissant,M,un croissant,le croissant,mon croissant,ton croissant,votre croissant,son croissant,notre croissant,leur croissant,ce croissant
chat,M,un chat,le chat,mon chat,ton chat,votre chat,son chat,notre chat,leur chat,ce chat
homme,M,un homme,l'homme,mon homme,ton homme,votre homme,son homme,notre homme,leur homme,cet homme
chien,M,un chien,le chien,mon chien,ton chien,votre chien,son chien,notre chien,leur chien,ce chien
garçon,M,un garçon,le garçon,mon garçon,ton garçon,votre garçon,son garçon,notre garçon,leur garçon,ce garçon
fille,F,une fille,la fille,ma fille,ta fille,votre fille,sa fille,notre fille,leur fille,cette fille
journalist,M,un journaliste,le journaliste,mon journaliste,ton journaliste,votre journaliste,son journaliste,notre journaliste,leur journaliste,ce journaliste
journaliste,F,une journaliste,la journaliste,ma journaliste,ta journaliste,votre journaliste,sa journaliste,notre journaliste,leur journaliste,cette journaliste
université,F,une université,l'université,mon université,ton université,votre université,son université,notre université,leur université,cette université
professeur,M,un professeur,le professeur,mon professeur,ton professeur,votre professeur,son professeur,notre professeur,leur professeur,ce professeur
gare,F,une gare,la gare,ma gare,ta gare,votre gare,sa gare,notre gare,leur gare,cette gare
aéroport,M,un aéroport,l'aéroport,mon aéroport,ton aéroport,votre aéroport,son aéroport,notre aéroport,leur aéroport,cet aéroport
hôtel,M,un hôtel,l'hôtel,mon hôtel,ton hôtel,votre hôtel,son hôtel,notre hôtel,leur hôtel,cet hôtel
avion,M,un avion,l'avion,mon avion,ton avion,votre avion,son avion,notre avion,leur avion,cet avion
voiture,F,une voiture,la voiture,ma voiture,ta voiture,votre voiture,sa voiture,notre voiture,leur voiture,cette voiture
train,M,un train,le train,mon train,ton train,votre train,son train,notre train,leur train,ce train
taxi,M,un taxi,le taxi,mon taxi,ton taxi,votre taxi,son taxi,notre taxi,leur taxi,ce taxi
valise,F,une valise,la valise,ma valise,ta valise,votre valise,sa valise,notre valise,leur valise,cette valise
passeport,M,un passeport,le passeport,mon passeport,ton passeport,votre passeport,son passeport,notre passeport,leur passeport,ce passeport
billet d'avion,M,un billet d'avion,le billet d'avion,mon billet d'avion,ton billet d'avion,votre billet d'avion,son billet d'avion,notre billet d'avion,leur billet d'avion,ce billet d'avion
mère,F,une mère,la mère,ma mère,ta mère,votre mère,sa mère,notre mère,leur mère,cette mère
famille,F,une famille,la famille,ma famille,ta famille,votre famille,sa famille,notre famille,leur famille,cette famille
femme,F,une femme,la femme,ma femme,ta femme,votre femme,sa femme,notre femme,leur femme,cette femme
sœur,F,une sœur,la sœur,ma sœur,ta sœur,votre sœur,sa sœur,notre sœur,leur sœur,cette sœur
mari,M,un mari,le mari,mon mari,ton mari,votre mari,son mari,notre mari,leur mari,ce mari
fils,M,un fils,le fils,mon fils,ton fils,votre fils,son fils,notre fils,leur fils,ce fils
chouette,F,une chouette,la chouette,ma chouette,ta chouette,votre chouette,sa chouette,notre chouette,leur chouette,cette chouette
pizza,F,une pizza,la pizza,ma pizza,ta pizza,votre pizza,sa pizza,notre pizza,leur pizza,cette pizza
animal de compagnie,M,un animal de compagnie,l'animal de compagnie,mon animal de compagnie,ton animal de compagnie,votre animal de compagnie,son animal de compagnie,notre animal de compagnie,leur animal de compagnie,cet animal de compagnie
jardin,M,un jardin,le jardin,mon jardin,ton jardin,votre jardin,son jardin,notre jardin,leur jardin,ce jardin
maison,F,une maison,la maison,ma maison,ta maison,votre maison,sa maison,notre maison,leur maison,cette maison
appartement,M,un appartement,l'appartement,mon appartement,ton appartement,votre appartement,son appartement,notre appartement,leur appartement,cet appartement
chocolat,M,un chocolat,le chocolat,mon chocolat,ton chocolat,votre chocolat,son chocolat,notre chocolat,leur chocolat,ce chocolat
musique,F,une musique,la musique,ma musique,ta musique,votre musique,sa musique,notre musique,leur musique,cette musique
banque,F,une banque,la banque,ma banque,ta banque,votre banque,sa banque,notre banque,leur banque,cette banque
boulangerie,F,une boulangerie,la boulangerie,ma boulangerie,ta boulangerie,votre boulangerie,sa boulangerie,notre boulangerie,leur boulangerie,cette boulangerie
métro,M,un métro,le métro,mon métro,ton métro,votre métro,son métro,notre métro,leur métro,ce métro
bus,M,un bus,le bus,mon bus,ton bus,votre bus,son bus,notre bus,leur bus,ce bus
zoo,M,un zoo,le zoo,mon zoo,ton zoo,votre zoo,son zoo,notre zoo,leur zoo,ce zoo
cinéma,M,un cinéma,le cinéma,mon cinéma,ton cinéma,votre cinéma,son cinéma,notre cinéma,leur cinéma,ce cinéma
bébé,M,un bébé,le bébé,mon bébé,ton bébé,votre bébé,son bébé,notre bébé,leur bébé,ce bébé
thé,M,un thé,le thé,mon thé,ton thé,votre thé,son thé,notre thé,leur thé,ce thé
café,M,un café,le café,mon café,ton café,votre café,son café,notre café,leur café,ce café
serveur,M,un serveur,le serveur,mon serveur,ton serveur,votre serveur,son serveur,notre serveur,leur serveur,ce serveur
jus,M,un jus,le jus,mon jus,ton jus,votre jus,son jus,notre jus,leur jus,ce jus
vin,M,un vin,le vin,mon vin,ton vin,votre vin,son vin,notre vin,leur vin,ce vin
verre,M,un verre,le verre,mon verre,ton verre,votre verre,son verre,notre verre,leur verre,ce verre
bière,F,une bière,la bière,ma bière,ta bière,votre bière,sa bière,notre bière,leur bière,cette bière
tasse,F,une tasse,la tasse,ma tasse,ta tasse,votre tasse,sa tasse,notre tasse,leur tasse,cette tasse
fromage,M,un fromage,le fromage,mon fromage,ton fromage,votre fromage,son fromage,notre fromage,leur fromage,ce fromage
sandwich,M,un sandwich,le sandwich,mon sandwich,ton sandwich,votre sandwich,son sandwich,notre sandwich,leur sandwich,ce sandwich
bouteille,F,une bouteille,la bouteille,ma bouteille,ta bouteille,votre bouteille,sa bouteille,notre bouteille,leur bouteille,cette bouteille
pain,M,un pain,le pain,mon pain,ton pain,votre pain,son pain,notre pain,leur pain,ce pain
salade,F,une salade,la salade,ma salade,ta salade,votre salade,sa salade,notre salade,leur salade,cette salade
addition,F,une addition,l'addition,mon addition,ton addition,votre addition,son addition,notre addition,leur addition,cette addition
dessert,M,un dessert,le dessert,mon dessert,ton dessert,votre dessert,son dessert,notre dessert,leur dessert,ce dessert
table,F,une table,la table,ma table,ta table,votre table,sa table,notre table,leur table,cette table
restaurant,M,un restaurant,le restaurant,mon restaurant,ton restaurant,votre restaurant,son restaurant,notre restaurant,leur restaurant,ce restaurant
toilette,F,une toilette,la toilette,ma toilette,ta toilette,votre toilette,sa toilette,notre toilette,leur toilette,cette toilette
